Šifra;Naziv županije;Naziv JLS-a;2012.;2013.;2014.;2015.;2016.;2017.;2018.;;
2208;Sisa?ko-moslava?ka;KUTINA;38;24;21;14;53;38;35;;
2216;Požeško-slavonska;KUTJEVO;.;z;.;z;z;.;z;;
2224;Istarska;LABIN;46;47;44;38;76;70;88;;
2232;Istarska;LANIŠ?E;.;.;.;.;.;.;.;;
2259;Karlova?ka;LASINJA;.;.;.;.;.;.;.;;
2267;Dubrova?ko-neretvanska;LASTOVO;z;z;z;.;z;z;z;;
5860;Splitsko-dalmatinska;LE?EVICA;.;.;.;.;.;.;.;;
2275;Koprivni?ko-križeva?ka;LEGRAD;.;z;.;.;.;.;z;;
2283;Sisa?ko-moslava?ka;LEKENIK;.;.;.;.;.;.;.;;
2291;Varaždinska;LEPOGLAVA;z;z;z;z;z;.;z;;
2305;Osje?ko-baranjska;LEVANJSKA VAROŠ;.;.;.;.;.;.;.;;
2313;Požeško-slavonska;LIPIK;z;z;z;z;z;z;z;;
2321;Sisa?ko-moslava?ka;LIPOVLJANI;z;.;.;.;.;.;z;;
2348;Zadarska;LIŠANE OSTROVI?KE;.;.;.;.;.;.;.;;
2356;Istarska;LIŽNJAN - LISIGNANO;35;40;34;28;50;87;55;;
2364;Krapinsko-zagorska;LOBOR;.;.;.;.;.;.;.;;
2372;Primorsko-goranska;LOKVE;.;z;z;.;z;.;.;;
5878;Splitsko-dalmatinska;LOKVI?I?I;.;.;.;.;.;.;.;;
6246;Primorsko-goranska;LOPAR;.;.;.;z;.;z;z;;
2399;Vukovarsko-srijemska;LOVAS;.;.;.;.;.;.;.;;
2402;Li?ko-senjska;LOVINAC;.;.;.;.;.;.;.;;
2429;Primorsko-goranska;LOVRAN;33;50;25;73;43;45;39;;
2437;Splitsko-dalmatinska;LOVRE?;.;.;z;z;.;.;.;;
2445;Varaždinska;LUDBREG;27;14;22;12;34;19;34;;
5487;Zagreba?ka;LUKA;.;.;.;.;.;.;.;;
2453;Viroviti?ko-podravska;LUKA?;.;.;.;z;.;.;.;;
6009;Dubrova?ko-neretvanska;LUMBARDA;z;z;z;z;z;z;z;;
2461;Istarska;LUPOGLAV;.;.;.;.;.;.;.;;
2470;Varaždinska;LJUBEŠ?ICA;.;z;.;.;.;.;.;;
2488;Krapinsko-zagorska;MA?E;z;z;z;.;.;.;z;;
5789;Osje?ko-baranjska;MAGADENOVAC;.;.;.;.;.;.;.;;
5550;Sisa?ko-moslava?ka;MAJUR;.;.;.;.;.;.;.;;
2496;Splitsko-dalmatinska;MAKARSKA;152;152;265;134;166;206;227;;
2500;Me?imurska;MALA SUBOTICA;.;.;.;.;.;.;.;;
2518;Varaždinska;MALI BUKOVEC;.;.;.;.;.;.;.;;
2526;Primorsko-goranska;MALI LOŠINJ;58;44;69;44;69;91;69;;
2534;Primorsko-goranska;MALINSKA-DUBAŠNICA;114;155;128;119;137;171;142;;
2542;Istarska;MAR?ANA;z;12;z;z;20;20;20;;
2569;Krapinsko-zagorska;MARIJA BISTRICA;.;.;z;.;.;z;z;;
5398;Zagreba?ka;MARIJA GORICA;.;.;.;.;.;.;z;;
2577;Osje?ko-baranjska;MARIJANCI;.;.;.;.;.;.;.;;
2585;Splitsko-dalmatinska;MARINA;z;z;20;25;13;10;z;;
6106;Vukovarsko-srijemska;MARKUŠICA;.;.;.;.;.;.;.;;
850;Varaždinska;MARTIJANEC;.;.;.;.;.;.;.;;
2593;Sisa?ko-moslava?ka;MARTINSKA VES;.;.;.;.;.;.;.;;
2607;Varaždinska;MARUŠEVEC;z;z;.;z;z;.;z;;
2615;Primorsko-goranska;MATULJI;55;38;29;56;48;51;58;;
2631;Istarska;MEDULIN;113;140;132;115;105;149;139;;
2640;Dubrova?ko-neretvanska;METKOVI?;28;30;41;16;28;42;68;;
2658;Krapinsko-zagorska;MIHOVLJAN;.;.;.;.;.;.;.;;
2666;Viroviti?ko-podravska;MIKLEUŠ;.;.;.;.;.;.;.;;
2674;Splitsko-dalmatinska;MILNA;11;z;z;.;z;10;z;;
2682;Dubrova?ko-neretvanska;MLJET;.;.;.;.;.;z;.;;
2704;Koprivni?ko-križeva?ka;MOLVE;.;.;.;z;.;.;z;;
2739;Primorsko-goranska;MOŠ?ENI?KA DRAGA;z;z;z;z;z;z;z;;
2747;Istarska;MOTOVUN - MONTONA;.;.;z;z;.;.;z;;
2755;Primorsko-goranska;MRKOPALJ;z;z;z;z;.;.;z;;
876;Splitsko-dalmatinska;MU?;.;.;.;.;.;.;.;;
2763;Me?imurska;MURSKO SREDIŠ?E;z;.;z;10;z;.;20;;
6173;Šibensko-kninska;MURTER - KORNATI;z;z;z;z;20;28;18;;
2780;Osje?ko-baranjska;NAŠICE;45;24;32;40;45;44;48;;
2798;Me?imurska;NEDELIŠ?E;.;.;z;.;.;.;z;;
6122;Vukovarsko-srijemska;NEGOSLAVCI;.;.;.;.;.;.;.;;
2801;Splitsko-dalmatinska;NEREŽIŠ?A;.;.;.;.;.;.;z;;
2810;Karlova?ka;NETRETI?;.;.;.;z;.;.;.;;
2950;Vukovarsko-srijemska;NIJEMCI;.;.;.;.;.;.;.;;
2828;Zadarska;NIN;36;11;21;50;26;38;69;;
2836;Viroviti?ko-podravska;NOVA BUKOVICA;.;.;.;.;.;z;.;;
2844;Brodsko-posavska;NOVA GRADIŠKA;15;34;22;24;22;29;30;;
2852;Brodsko-posavska;NOVA KAPELA;.;.;z;.;.;.;.;;
2879;Bjelovarsko-bilogorska;NOVA RA?A;.;.;.;.;z;.;z;;
2887;Li?ko-senjska;NOVALJA;254;170;227;158;189;215;230;;
5541;Krapinsko-zagorska;NOVI GOLUBOVEC;.;.;.;.;.;.;.;;
2895;Varaždinska;NOVI MAROF;z;z;z;z;z;z;z;;
2909;Primorsko-goranska;NOVI VINODOLSKI;26;39;65;47;61;59;92;;
5371;Zadarska;NOVIGRAD;.;z;z;z;z;192;173;;
2917;Istarska;NOVIGRAD - CITTANOVA;.;.;.;.;.;.;z;;
