Sifra,Zupanija,JLS,2012,2013,2014,2015,2016,2017,2018
3115,Krapinsko-5agorska,OROSLAVJE,20,12,5,5,5,19,24
3123,Osje?ko-baranjska,OSIJEK,755,655,648,1019,1510,813,949
3131,Li?ko-senjska,OTO?AC,10,5,5,5,11,5,11
3140,Splitsko-dalmatinska,OTOK,0,0,0,0,0,0,0
5355,Vukovarsko-srijemska,OTOK,0,0,5,0,5,0,0
3158,Karlova?ka,O5ALJ,5,5,5,5,5,0,5
3166,5adarska,PAG,40,43,67,56,78,54,47
3174,5adarska,PAKOŠTANE,29,24,32,21,27,28,23
3182,Požeško-slavonska,PAKRAC,13,10,11,11,5,5,16
3204,5adarska,PAŠMAN,20,33,30,24,33,23,44
3212,Istarska,PA5IN,20,11,10,26,11,35,22
3239,Li?ko-senjska,PERUŠI?,5,5,0,5,0,0,5
3247,Koprivni?ko-križeva?ka,PETERANEC,0,0,0,0,0,0,5
3255,Osje?ko-baranjska,PETLOVAC,0,0,0,0,0,0,0
3263,Varaždinska,PETRIJANEC,0,0,0,5,0,0,5
3271,Osje?ko-baranjska,PETRIJEVCI,5,0,0,0,0,0,0
3280,Sisa?ko-moslava?ka,PETRINJA,16,12,19,10,26,27,34
3298,Krapinsko-5agorska,PETROVSKO,0,0,0,0,0,0,0
3301,Istarska,PI?AN,5,0,0,5,0,0,0
5819,Šibensko-kninska,PIROVAC,5,5,5,5,5,25,19
3310,5agreba?ka,PISAROVINA,0,0,0,0,0,0,0
3328,Viroviti?ko-podravska,PITOMA?A,5,5,5,5,5,5,5
3336,Karlova?ka,PLAŠKI,0,0,0,0,0,0,0
3344,Požeško-slavonska,PLETERNICA,5,0,0,0,0,0,5
4553,Li?ko-senjska,PLITVI?KA JE5ERA,5,5,5,5,5,5,16
3352,Dubrova?ko-neretvanska,PLO?E,37,17,10,33,48,43,38
3379,Splitsko-dalmatinska,PODBABLJE,0,0,0,0,0,0,0
3387,Brodsko-posavska,PODCRKAVLJE,0,0,0,0,0,0,0
3395,Splitsko-dalmatinska,PODGORA,27,5,5,5,10,13,5
3409,Osje?ko-baranjska,PODGORA?,0,0,0,0,5,0,0
2712,Osje?ko-baranjska,PODRAVSKA MOSLAVINA,0,0,0,0,0,0,0
6165,Koprivni?ko-križeva?ka,PODRAVSKE SESVETE,0,0,0,0,0,0,5
3417,Splitsko-dalmatinska,PODSTRANA,12,16,62,35,60,38,54
3425,Me?imurska,PODTUREN,0,0,0,5,0,0,5
3433,Dubrova?ko-neretvanska,POJE5ERJE,0,0,5,0,0,0,0
5444,5agreba?ka,POKUPSKO,0,0,0,5,0,0,0
3441,5adarska,POLA?A,0,5,5,5,5,0,0
3450,5adarska,POLI?NIK,0,0,0,5,0,0,5
3468,Osje?ko-baranjska,POPOVAC,0,5,0,5,5,0,5
3476,Sisa?ko-moslava?ka,POPOVA?A,14,5,5,5,5,12,5
3484,Istarska,PORE? - PAREN5O,190,150,182,181,253,271,259
3492,5adarska,POSEDARJE,5,11,5,25,17,25,17
3506,Splitsko-dalmatinska,POSTIRA,5,5,5,5,5,5,5
5738,5adarska,POVLJANA,42,34,48,22,26,29,49
3514,Požeško-slavonska,POŽEGA,52,43,49,43,76,83,62
3522,Krapinsko-5agorska,PREGRADA,0,5,5,5,5,0,14
3549,5adarska,PREKO,10,5,5,17,13,11,20
3557,Me?imurska,PRELOG,15,5,10,5,5,5,5
3565,5agreba?ka,PRESEKA,5,0,0,0,0,0,0
5894,Splitsko-dalmatinska,PRGOMET,0,0,0,0,0,0,0
6203,Me?imurska,PRIBISLAVEC,0,0,5,0,5,0,0
5908,Splitsko-dalmatinska,PRIMORSKI DOLAC,0,0,0,0,0,0,0
